City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,tazovsky,67.4667,78.7,-7.85,90,100,4.29,RU,1714646269
343,turabah,21.2141,41.6331,30.63,8,0,3.3,SA,1714646269
344,harrisburg,40.2737,-76.8844,16.59,79,75,1.54,US,1714646168
345,baruun-urt,46.6806,113.2792,21.25,10,1,4.66,MN,1714646270
346,northam,51.0333,-4.2167,10.92,98,100,9.99,GB,1714646270
347,yaren,-0.5472,166.916,28.58,78,22,3.57,NR,1714646270
348,hasaki,35.7333,140.8333,15.22,62,95,6.49,JP,1714646270
349,jinghong,21.991,100.7341,34.58,24,73,1.5,CN,1714646270
350,salalah,17.0151,54.0924,28.05,83,100,3.6,OM,1714646270
351,sinabang,2.4803,96.3801,28.53,84,63,1.69,ID,1714646270
352,beau vallon,-20.4189,57.6953,29.0,69,75,4.12,MU,1714646270
353,el hadjira,32.6134,5.5126,25.52,26,1,2.72,DZ,1714646270
354,minas de marcona,-15.2119,-75.1103,15.14,92,74,4.33,PE,1714646270
355,shalkar,47.8288,59.6258,18.91,43,73,6.75,KZ,1714646270
356,brandon,27.9378,-82.2859,23.35,92,0,2.57,US,1714646145
357,taro,-8.3862,115.28,25.0,100,71,0.63,ID,1714646270
358,malaga,36.7202,-4.4203,21.66,32,0,5.14,ES,1714646144
359,le port,-20.9373,55.2919,29.0,74,96,2.7,RE,1714646201
360,kralendijk,12.15,-68.2667,27.99,78,20,7.2,BQ,1714646237
361,george town,5.4112,100.3354,31.97,70,40,4.12,MY,1714646015
362,parabel',58.6978,81.4825,4.39,55,100,3.58,RU,1714646270
363,al jawf,29.5,38.75,29.06,26,0,5.22,SA,1714646270
364,willmar,45.1219,-95.0433,10.01,87,100,3.09,US,1714646270
